Baixar;Tratar;Metadados;Renomear;V. final sharepoint;Sigla;Nome do arquivo;Título PT-BR;Descrição PT-BR;Legenda PT-BR;Texto alt PT-BR;Título Inglês;Descrição Inglês;Legenda Inglês;Texto alt Inglês;Título Espanhol;Descrição Espanhol;Legenda Espanhol ;Texto alt Espanhol;;
OK;;;;;CEFET_RJ;CEFE-RJ_00;;;;;;;;;;;;;_00;Logo (fundo branco sem texto de preferência)
OK;;;;;CEFET_RJ;CEFET-RJ_01;;;;;;;;;;;;;_01;Principal (1200x800)
OK;;;;;CEFET_RJ;CEFET-RJ_02;;;;;;;;;;;;;_02;Carrossel 1 (1920x640)
OK;;;;;CEFET_RJ;CEFET-RJ_03;;;;;;;;;;;;;_03;Carrossel 2 (1920x640)
OK;;;;;CEFET_RJ;CEFET-RJ_04;;;;;;;;;;;;;_04;Carrossel 3 (1920x640)
OK;;parcial;;;CEFET_MG;CEFET_MG_00;logotipo do CEFET-MG;logotipo do CEFET-MG;logotipo do CEFET-MG;logotipo do CEFET-MG;;;;;;;;;;
OK;;;;;CEFET_MG;CEFET_MG_01;;foto da fachada da entrada do CEFET-MG;Entrada do CEFET-MG;foto da fachada da entrada do CEFET-MG;;;;;;;;;;
OK;;;;;CEFET_MG;CEFET_MG_02;;;;;;;;;;;;;;
OK;;;;;CEFET_MG;CEFET_MG_03;;;;;;;;;;;;;;
OK;;;;;CEFET_MG;CEFET_MG_04;;;;;;;;;;;;;;
;;OK;;;FURG;FURG_00;Logomarca oficial da Universidade Federal do Rio Grande (FURG);A imagem apresenta o símbolo gráfico estilizado da Universidade Federal do Rio Grande em fundo transparente. O logotipo geométrico combina formas abstratas nas cores amarelo, vermelho-escuro e laranja dispostas de forma simétrica.;Logomarca oficial da Universidade Federal do Rio Grande. Foto: site FURG.;Logotipo geométrico e estilizado da FURG composto por formas simétricas nas cores amarelo, vermelho e laranja.;Official logo of the Federal University of Rio Grande (FURG);The image displays the stylized graphic symbol of the Federal University of Rio Grande on a transparent background. The geometric logo combines abstract shapes in yellow, dark red, and orange arranged symmetrically.;Official logo of the Federal University of Rio Grande. Photo: FURG website.;Stylized geometric FURG logo composed of symmetrical shapes in yellow, red, and orange.;Logotipo oficial de la Universidad Federal de Rio Grande (FURG);La imagen muestra el símbolo gráfico estilizado de la Universidad Federal de Rio Grande sobre fondo transparente. El logotipo geométrico combina formas abstractas en tonos amarillo, rojo oscuro y naranja dispuestas de forma simétrica.;Logotipo oficial de la Universidad Federal de Rio Grande. Foto: sitio web de FURG.;Logotipo geométrico y estilizado de la FURG compuesto por formas simétricas en amarillo, rojo y naranja.;;
OK;OK;OK;;;FURG;FURG_01;Pórtico de entrada do campus Carreiros da FURG;"A imagem mostra a entrada principal do campus Carreiros da Universidade Federal do Rio Grande. O pórtico possui uma grande estrutura metálica curva com cobertura translúcida, exibindo o letreiro ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"" e a logomarca no topo, sobre a guarita de controle.";Pórtico de entrada do campus Carreiros da FURG. Foto: site FURG.;"Pórtico metálico curvado com cobertura translúcida e a inscrição ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"".";Entrance archway of the FURG Carreiros campus;"The image displays the main entrance to the Carreiros campus of the Federal University of Rio Grande. The archway features a large curved metal structure with a translucent roof, displaying the text ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"" and the logo at the top above the security booth.";Entrance archway of the FURG Carreiros campus. Photo: FURG website.;"Curved metallic entrance archway with translucent roofing displaying the text ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"".";Pórtico de entrada del campus Carreiros de la FURG;"La imagen muestra la entrada principal del campus Carreiros de la Universidad Federal de Rio Grande. El pórtico presenta una gran estructura metálica curva con cubierta translúcida, exibiendo la inscripción ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"" y el logotipo en la parte superior, sobre la garita de control.";Pórtico de entrada del campus Carreiros de la FURG. Foto: sitio web de FURG.;"Pórtico metálico curvo con cubierta translúcida y la inscripción ""UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG"".";;
