Sigla;Tipo;Tipo2;Natureza;Universidade;Estado;Região;tipo3;Título;nav_title;nome_curto;Descrição;Região no Portal;Estado Nome;Estado no Portal;Onde criar;TAGs
UFAC;Universidade;Federal;Pública;Universidade Federal do Acre;AC;Norte;sobre_nos;Sobre a UFAC;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Acre (UFAC).;Região Norte;Acre;Acre (AC);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/acre/ufac;UFAC
UFAL;Universidade;Federal;Pública;Universidade Federal de Alagoas;AL;Nordeste;sobre_nos;Sobre a UFAL;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal de Alagoas (UFAL).;Região Nordeste;Alagoas;Alagoas (AL);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/alagoas/ufal;UFAL
UNIFAP;Universidade;Federal;Pública;Universidade Federal do Amapá;AP;Norte;sobre_nos;Sobre a UNIFAP;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Amapá (UNIFAP).;Região Norte;Amapá;Amapá (AP);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/amapa/unifap;UNIFAP
UFAM;Universidade;Federal;Pública;Universidade Federal do Amazonas;AM;Norte;sobre_nos;Sobre a UFAM;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Amazonas (UFAM).;Região Norte;Amazonas;Amazonas (AM);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_norte/amazonas/ufam;UFAM
UFBA;Universidade;Federal;Pública;Universidade Federal da Bahia;BA;Nordeste;sobre_nos;Sobre a UFBA;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal da Bahia (UFBA).;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia/ufba;UFBA
UFOB;Universidade;Federal;Pública;Universidade Federal do Oeste da Bahia;BA;Nordeste;sobre_nos;Sobre a UFOB;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Oeste da Bahia (UFOB).;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia/ufob;UFOB
UFRB;Universidade;Federal;Pública;Universidade Federal do Recôncavo da Bahia;BA;Nordeste;sobre_nos;Sobre a UFRB;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Recôncavo da Bahia (UFRB).;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia/ufrb;UFRB
UFSB;Universidade;Federal;Pública;Universidade Federal do Sul da Bahia;BA;Nordeste;sobre_nos;Sobre a UFSB;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Sul da Bahia (UFSB).;Região Nordeste;Bahia;Bahia (BA);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/bahia/ufsb;UFSB
UFC;Universidade;Federal;Pública;Universidade Federal do Ceará;CE;Nordeste;sobre_nos;Sobre a UFC;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Ceará (UFC).;Região Nordeste;Ceará;Ceará (CE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/ceara/ufc;UFC
UFCA;Universidade;Federal;Pública;Universidade Federal do Cariri;CE;Nordeste;sobre_nos;Sobre a UFCA;Sobre;sobre-nos;Conheça a história, estrutura e informações institucionais sobre a Universidade Federal do Cariri (UFCA).;Região Nordeste;Ceará;Ceará (CE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/ceara/ufca;UFCA
